city,state,lat,lng
Skagway,AK,59.4566,-135.2927
Skwentna,AK,61.9314,-151.2096
Sleetmute,AK,61.6516,-157.1251
Soldotna,AK,60.4862,-151.0672
South Naknek,AK,58.6638,-156.9908
South Van Horn,AK,64.8091,-147.7855
St. George,AK,56.5791,-169.6114
St. Mary's,AK,62.0718,-163.2805
St. Michael,AK,63.4664,-162.1324
St. Paul,AK,57.1815,-170.2743
Stebbins,AK,63.4706,-162.2597
Steele Creek,AK,64.9295,-147.3955
Sterling,AK,60.5405,-150.8089
Stevens Village,AK,66.025,-149.0802
Stony River,AK,61.7936,-156.586
Sunrise,AK,60.8701,-149.4678
Susitna North,AK,62.1281,-149.8593
Sutton-Alpine,AK,61.7429,-148.8542
Takotna,AK,62.9823,-156.0841
Talkeetna,AK,62.2753,-150.0814
Tanacross,AK,63.3523,-143.4318
Tanaina,AK,61.656,-149.4272
Tanana,AK,65.1746,-152.0686
Tatitlek,AK,60.8921,-146.6727
Tazlina,AK,62.0536,-145.4362
Teller,AK,65.2531,-166.342
Tenakee Springs,AK,57.7913,-135.1955
Tetlin,AK,63.1481,-142.4947
Thorne Bay,AK,55.6652,-132.5337
Togiak,AK,59.0693,-160.4727
Tok,AK,63.329,-143.0379
Toksook Bay,AK,60.5333,-165.1557
Tonsina,AK,61.5617,-145.0656
Trapper Creek,AK,62.3189,-150.3965
Tuluksak,AK,61.105,-160.9493
Tuntutuliak,AK,60.3843,-162.6838
Tununak,AK,60.579,-165.2077
Twin Hills,AK,59.0815,-160.2826
Two Rivers,AK,64.8908,-147.0898
Tyonek,AK,61.0734,-151.3331
Ugashik,AK,57.5736,-157.1232
Unalakleet,AK,63.8922,-160.786
Unalaska,AK,53.8984,-166.568
Upper Kalskag,AK,61.5416,-160.3337
Utqiagvik,AK,71.2728,-156.7575
Valdez,AK,61.0963,-146.2596
Venetie,AK,67.0206,-146.3741
Wainwright,AK,70.638,-159.9713
Wales,AK,65.6119,-168.0773
